scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval
Kisan Credit Card Scheme,Government,19-60,All,All,All,India,Credit for Farmers,"Farmers with landholding, Kisan registration","Credit limit for crop expenses, flexible repayment",Apply at bank branches or online,https://kisancreditcard.nsdcindia.org/,N/A,N/A,N/A,N/A
Pradhan Mantri Awas Yojana,Government,19-35,All,General,Below Poverty Line,Urban and Rural,Housing for All,EWS and LIG families,Subsidized loans for housing,Online application through official portal,https://pmay.gov.in,Interest rate 6.5% p.a.,N/A,N/A,N/A
Mahatma Gandhi National Rural Employment Guarantee Act,Government,18-60,All,All,Below Poverty Line,Rural,Employment Guarantee,Rural households with unskilled manual work,Guaranteed 100 days employment per year,Application through local panchayat office,https://nrega.nic.in,N/A,Annual,N/A,N/A
Startup India,Government,19-45,All,All,Middle,All India,Encourage Startups & Innovation,Registered startups with innovative ideas,"Funding support, mentorship, networking",Online registration on portal,https://startupindia.gov.in,N/A,N/A,N/A,N/A
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,All India,Girl Child Education & Savings,Parents or guardians of girl children,"Interest on savings, tax benefits",Visit nearest bank or post office,https://india.gov.in,Interest rate 7.6% p.a.,Until girl turns 21 or account closure,N/A,N/A
Micro Units Development & Refinance Agency Bank,Government,All,All,All,Below Poverty Line,All India,Microcredit for Small Businesses,Micro and small enterprises,"Refinance facilities, credit support",Application through participating banks,https://mudra.org.in,Interest rate 9% p.a.,N/A,N/A,N/A
HDFC Privilege Banking,Private,25-60,All,All,Upper,Urban,Wealth Management & Banking,High net worth individuals,"Premium banking services, exclusive offers",Invitation or appointment at branch,https://hdfcbank.com,"Interest rate varies, premium services",N/A,N/A,N/A
ICICI Prudential Life Insurance,Private,18-50,All,All,Middle,All India,Life Insurance and Savings,Individuals seeking life cover,"Life cover, savings plan, tax benefits",Online or branch application,https://iciciprulife.com,"Interest rate varies, maturity benefits",N/A,N/A,Monthly/Yearly
Kotak Mahindra Bank Saving Account,Private,All,All,All,Middle,All India,Savings Account,KYC compliant individuals,"Interest earnings, ATM access, digital banking",Online or branch visit,https://kotakbank.com,Interest rate 4% p.a.,N/A,N/A,N/A
Bharat Microfin Scheme,Government,All,All,OBC,Below Poverty Line,Rural,Microfinance for OBC Communities,OBC rural households,"Micro loans, financial literacy",Application through local cooperative societies,https://microfin.gov.in,Interest rate 10% p.a.,N/A,N/A,N/A
Digital India Payments Initiative,Government,18-60,All,All,All,All India,Promote Digital Payments,All citizens with bank accounts,"Cashbacks, incentives for digital transactions",Registration through banking app or portal,https://.digitalindia.gov.in,N/A,N/A,N/A,N/A
Reliance Small Business Micro Loan,Private,21-50,All,All,Middle,Urban and Rural,Microcredit for Small Businesses,Small businesses with proper documentation,"Flexible loans, quick approval",Online application or via partner branches,https://reliance.com,Interest rate 11% p.a.,N/A,N/A,Monthly
Rural Electrification Scheme,Government,All,All,All,All,Rural,Electrification of Rural Areas,Rural households and communities,"Electrification, electricity connections",Application at local offices or panchayats,https://rural.gov.in,N/A,N/A,N/A,N/A
Sampoorn Microfinance Scheme,Private,All,All,All,Below Poverty Line,Urban and Rural,Microfinance for Urban and Rural Poor,Low-income households,"Micro loans, financial literacy programs",Application at microfinance institutions,https://sampoorngmicrofinance.org,Interest rate 12% p.a.,N/A,N/A,N/A
NABARD Rural Development Fund,Government,All,All,All,All,Rural,Rural Development Funding,Rural development projects,"Funding support, grants",Application to NABARD offices,https://nabard.org,N/A,N/A,N/A,N/A
Tata Trusts Microfinance Program,Private,All,All,All,Below Poverty Line,Rural and Urban,Microfinance and Development,Low-income households and microenterprises,"Micro loans, skill development",Application through partner NGOs,https://tatatrusts.org,Interest rate 10% p.a.,N/A,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Financial Inclusion and Bank Accounts,Open to all citizens above 10 years old,"Zero balance accounts, overdraft facilities",Visit nearby bank branch with ID proof,https://pmjdy.gov.in/,N/A,Lifetime,N/A,N/A
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Child girl child education and marriage,Girl child below 10 years of age,"Tax benefits, high interest rate",Apply through post office or bank with birth certificate,https://sukanyasamriddhi.education.gov.in/,7-8% interest compounded annually,21 years or upon marriage of girl,N/A,N/A
MUDRA Yojana,Government,19-60,All,All,Below Poverty Line,All India,Microcredit for small businesses,Micro or small business owner,"Collateral-free loans, easy access to credit",Apply at designated bank branches with business proof,https://mudra.org.in/,"Interest rates vary, 10-14% typical",Up to 5 years,Varies with loan amount,"Monthly, Quarterly"
Atal Pension Yojana,Government,18-40,All,All,Middle,All India,Pension savings for informal sector workers,"Open to all, especially unorganized sector workers",Guaranteed minimum pension after 60,Register through bank or online portal,https://apy.gov.in/,Pension amount depends on contribution,Lifetime after 60,As per contribution plan,Monthly
ICICI Bank Money2India,Private,19-60,All,All,Middle,Urban,Remittances and international money transfer,Existing bank account holder with KYC compliant,"Fast transfer, lower fees",Register online or at bank branch,https://www.icicibank.com/,N/A,N/A,N/A,N/A
HDFC Women's Savings Account,Private,19-60,Female,All,Upper,Urban,Savings for women empowerment,Women with valid ID proof,"Higher interest rates, special offers",Open account online or at branch,https://hdfcbank.com/,N/A,N/A,N/A,N/A
Small Industries Development Bank Loan Scheme,Government,19-60,All,OBC,Middle,Rural India,Funding for small industries,Small or micro industry owner,"Low interest rates, collateral-free loans",Apply through designated bank or SIDB office,https://sidbi.in/,"Interest varies, 8-12%",Up to 7 years,Depends on loan amount,Monthly
Rural Electrification Scheme,Government,All,All,All,All,Rural Areas,Provide electricity connections to rural households,Rural household registration,Free or subsidized electricity connections,Application via local government offices,https://rural.gov.in/,N/A,N/A,N/A,N/A
Indian Bank Aadhaar Enabled Payment System,Private,18-65,All,All,All,Urban and Rural India,Digital payments and banking access,Aadhaar linked bank account,"Easy access to banking, reduced transaction costs",Link Aadhaar with bank account online or at branch,https://indianbank.in/,N/A,N/A,N/A,N/A
Pradhan Mantri Kisan Samman Nidhi,Government,19-60,All,All,Below Poverty Line,All India,Income support to farmers,Small and marginal farmers,Rs.6000 per year in three installments,Apply through farmer registration portal or local authorities,https://pmkisan.gov.in/,N/A,N/A,Rs.6000 annually,Tri-annual
National Pension System,Government,18-60,All,All,All,All India,Long-term retirement savings,Open to all citizens aged 18-60,"Tax benefits, market-linked returns",Register online or through authorized agents,https://npsindia.gov.in/,Market-dependent,Lifetime,As per contribution plan,Monthly
LIC Micro Insurance Policy,Private,19-60,All,All,Below Poverty Line,All India,Micro insurance coverage,Individuals below poverty line or in informal sector,"Low premium, basic coverage",Apply at LIC branches or online,https://licindia.in/,N/A,N/A,"Low premium, varies",N/A
Kisan Credit Card Scheme,Government,19-60,All,All,All,Rural India,Credit facility for farmers,Farmer with landholding,"Cash credit, flexible repayment",Apply at bank branch with land proof,https://banking.kohinoortech.com/,N/A,Ongoing,Depends on loan,Monthly
Digital Saksharta Abhiyan,Government,All,All,All,All,All India,Digital literacy,All citizens above 14 years,"Digital skills training, bank account linkage",Register online or through government centers,https://dsa.gov.in/,N/A,N/A,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,19-35,All,All,Below Poverty Line,All India,Financial Inclusion and Banking Access,Open to all citizens above 10 years of age,"Zero balance accounts, accidental insurance",Visit bank branch or apply online,https://pmjdy.gov.in,N/A,Lifetime,N/A,N/A
Micro Investment Plan,Private,36-60,All,OBC,Middle,Urban,Microcredit and Investment,Residents with minimum income level,"Microloans, Investment options",Apply through partnered financial institutions,https://microinvestment.in,Interest rate 8-12%,5 years,N/A,Quarterly
Rural Savings Scheme,Government,0-5,All,ST,Below Poverty Line,Rural Areas,Savings Encouragement,Children in rural areas above 5 years,"Interest on savings, educational grants",Apply at local rural post offices,https://ruralsavings.gov.in,Interest rate 4%,Lifetime,N/A,Annually
Women’s Pension Scheme,Government,60+,Female,All,All,All India,Pension for Senior Women,Women above 60 with low income,"Monthly pension, healthcare access",Online or local social service offices,https://womenspension.gov.in,N/A,Lifetime,500 INR/month,Monthly
StartUp India Support,Government,19-35,All,All,All,All India,Entrepreneurship Support,Startup founders registered in India,"Funding, mentorship, networking",Register on portal and submit business plan,https://startupindia.gov.in,N/A,Ongoing,N/A,N/A
Skill Development Loan,Private,19-35,All,All,Middle,Urban and Rural,Skill Enhancement,Individuals seeking skill training funding,"Loan for training, low interest rates",Apply through bank branches or online,https://skillloan.in,Interest rate 6-10%,3 years,N/A,Monthly
Saarth Scheme for Farmers,Government,19-60,All,General,Below Poverty Line,Rural,Crop Insurance and Support,Registered farmers,"Insurance, subsidies, financial assistance",Apply at local agricultural offices,https://saarth.gov.in,N/A,Seasonal to yearly,N/A,N/A
Affordable Housing Loan,Private,36-60,All,All,Middle,Urban,Housing Finance,Individuals with stable income,Low-interest housing loans,Apply through banks or housing agencies,https://housingloan.in,Interest rate 7-9%,20 years,N/A,Monthly
Minority Business Grant,Government,19-50,All,Minority,Upper,All India,Business Development,Minority entrepreneurs,"Grants, training, mentorship",Online application with business plan,https://minoritybusiness.gov.in,N/A,Ongoing,N/A,N/A
Elderly Care Financial Scheme,Government,60+,All,All,All,All India,Elderly Support and Care,Elderly citizens above 60,"Healthcare support, pension",Apply via local government offices or online,https://elderlycare.gov.in,N/A,Lifetime,N/A,N/A
Nutritional Support for Kids,Government,0-5,All,General,Below Poverty Line,Urban and Rural,Child Nutrition and Health,Children below 5 years in low-income families,"Free meals, health check-ups",Apply through local health centers,https://nutritional.gov.in,N/A,Lifetime,N/A,N/A
Digital Financial Literacy Campaign,Government,19-35,All,All,All,Urban,Financial Literacy,Open to all urban residents,"Awareness, training, resource materials",Participation in workshops or online modules,https://financialliteracy.gov.in,N/A,Ongoing,N/A,N/A
Small Business Credit Guarantee,Government,19-50,All,All,Middle,Urban and Rural,Microcredit Guarantee,"Micro, small, and medium enterprises","Loan guarantees, lower interest rates",Apply through approved financial institutions,https://microcreditguarantee.gov.in,N/A,Ongoing,N/A,N/A
Youth Skill Development Program,Government,19-35,All,All,All,All India,Skill Enhancement and Employment,Students and unemployed youth,"Training, certification, job placement",Register online or at training centers,https://youthskills.gov.in,N/A,6 months to 2 years,N/A,N/A
