scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration
StartUp Fund Support,Private,19-35,All,General,Middle,Urban,Support startups and entrepreneurs,"Startups less than 2 years old, registered business","Seed funding, mentorship, networking opportunities",Online application with business plan submission,https://www.startupfundsupport.in,Equity stake or repayment depending on scheme,Varies per project
Rural Electrification Savings Scheme,Government,"0-5,6-18,19-35,36-60,60+",All,All,Below Poverty Line,Rural,Financial support for electrification projects,Rural households involved in electrification activities,"Subsidies, savings incentives, reduced electricity bills",Application through local panchayats and rural offices,https://www.ruralelectric.in,N/A,N/A
Urban Microcredit Initiative,Government,19-60,All,All,Below Poverty Line,Urban,Microfinance for urban poor,Urban residents below poverty line with income proof,"Microloans, financial literacy training",Application at urban local bodies or banks,https://www.urbanmicrocredit.in,Interest rate 9-11%,2-4 years
Private Investment in Financial Literacy,Private,All,All,All,All,All India,Promote financial literacy through private sector initiatives,All residents interested in financial education,"Workshops, online courses, certification programs",Register online or through partner organizations,https://www.fineducationprivate.in,N/A,Ongoing
National Pension Scheme (NPS),Government,19-60,All,All,All,India,Retirement planning,Individuals aged 18-60,"Pension, tax benefits, market-linked returns",Online registration or via authorized banks,https://www.nps.gov.in,"Interest rate varies, market-dependent",Lifetime
Skill Advancement for Women,Government,19-35,Female,OBC,Middle,All India,Enhance women’s employability and skills,"Women aged 19-35, unemployed or seeking skill upgrades","Skills training, certification, job placement support",Application through government portals or local offices,https://www.womenempowerment.in,N/A,1 year
Pradhan Mantri Mudra Yojana,Government,19-35,All,All,Below Poverty Line,All India,Microcredit,"Micro, small enterprises, individuals",Collateral-free loans up to INR 10 lakh,Online application through bank portal or bank branch,https://mudra.org.in,Interest rate 8-12% depending on bank,Up to 5 years
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,All India,Savings for Girl Child Education and Marriage,Parents or guardians of girl child,"Interest rate 7.6%, tax benefits, maturity amount upon maturity",Offline at bank branches or online via bank portal,https://sukanyasamriddhi.nic.in,"Interest rate 7.6%, maturity amount varies with deposit term",21 years or until marriage of girl
Jan Dhan Yojana,Government,All,All,All,Below Poverty Line,All India,Banking Inclusion and Financial Literacy,Anyone above 10 years of age with valid identity proof,"Zero balance savings accounts, debit card, overdraft facility","Visit bank branch with identity proof, account opened instantly",https://pmjdy.gov.in,N/A,Lifetime
LIC New Endowment Plan,Private,19-60,All,All,Middle,All India,Insurance and Savings,Individuals aged 19-60 with proof of identity and address,"Maturity benefits, life cover, tax benefits",Offline at LIC branches or online through LIC portal,https://licindia.in,"Interest rate around 6-7% compounded annually, maturity amount varies",15-25 years
E-wallet Microfinance,Private,19-50,All,OBC,Middle,Urban areas of Maharashtra,Microcredit and Digital Payments,"Small business owners, street vendors","Instant digital microloans, low interest rates","Download app, complete KYC, instant approval",https://microfinance.maharashtra.gov.in,Interest rate 12-18% depending on loan size and repayment period,N/A
National Pension Scheme,Government,36-60,All,All,Upper,All India,Pension Savings,Anyone aged 18-60 with PAN and Aadhaar,"Monthly pension post retirement, tax benefits",Register online or at bank branch,https://npas.gov.in,"Returns depend on contribution, interest rate approx 8%",Lifetime or until specified retirement age
Akshay Kumar Financial Literacy Campaign,Private,All,All,All,All,National,Financial Literacy and Education,Open to all citizens,"Workshops, educational resources, online courses",Register online or via partner organizations,https://finlitkumar.org,N/A,Ongoing
Rural Self-Employment Training Institute,Government,19-50,All,All,Below Poverty Line,Rural India,Skill Development for Rural Youth,Rural residents aged 18-45,"Skill certification, starter kits, seed money",Apply via local rural development offices,https://rseti.gov.in,N/A,Training programs vary from 3 months to 1 year
Private Banking Savings Plan,Private,25-60,All,All,Upper,Urban areas,Savings and Wealth Management,Professionals and salaried persons,"High-interest savings accounts, wealth advisory",Open account online or at bank branch,https://privatesavingsbank.com,"Interest rate 4-6%, possible returns from investments",N/A
Women Entrepreneurship Fund,Government,19-45,Female,OBC,Middle,All India,Promote Women-led Businesses,Women entrepreneurs with business plan,"Seed funding, training, mentorship",Apply online or via women self-help groups,https://womenfund.gov.in,N/A,2-5 years
Startup India Fund,Government,19-40,All,All,All,All India,Startup Funding and Incubation,Innovative startups registered with DPIIT,"Seed funding, mentoring, incubation support",Online registration and pitch to fund committee,https://startupindia.gov.in,N/A,N/A
Microfinance for Minority Communities,Private,19-50,All,Minority,Below Poverty Line,Urban and Rural Areas,Financial Inclusion for Minority Groups,Minority community members with small income,"Microloans, financial literacy programs",Application through partner NGOs or banks,https://microfinance.minority.gov.in,"Interest rate 10-15%, repayment over 12-24 months",N/A
Indira Awas Yojana,Government,All,All,All,Below Poverty Line,All India,Housing for the Poor,BPL families,"Affordable housing, subsidies",Online or physical application at local offices,https://housing.gov.in/iawy,N/A,Lifetime
Pradhan Mantri Jan Dhan Yojana,Government,All,All,All,Below Poverty Line,All India,Financial Inclusion and Banking Access,Any citizen with valid ID,"Zero balance accounts, insurance, overdraft facility",Visit bank branch or online registration,https://pmjdy.gov.in/,N/A,N/A
Sampoorna Sahyog Yojana,Government,36-60,All,OBC,Middle,Rural,Microcredit for Small Businesses,OBC rural households,Microloans for enterprise development,Application through local cooperative societies,https://sampoorna.in/,Interest rate 8-12%,3-5 years
Vikas Microfinance,Private,19-35,Female,SC,Upper,Urban,Microfinance and Small Loans,SC women in urban areas,"Microloans, financial literacy training",Online application or local branch visit,https://vikasmicrofinance.com/,Interest rate 10-14%,2-4 years
Rural Credit Connect,Private,19-35,All,All,Middle,Rural,Microcredit and Lending,Rural residents with valid ID,"Access to small loans, flexible repayment",Application through partner organizations,https://ruralcreditconnect.org/,Interest rate 9-13%,1-3 years
Smart Savings Program,Government,6-18,All,General,All,All India,Savings for Children,Children aged 6-18,"Higher interest rates for minors, savings account facilities",Application through schools or banks,https://smartsavings.gov.in/,Interest rate 4-6%,N/A
Senior Pension Scheme,Government,60+,All,All,All,All India,Pension and Retirement Benefits,Senior citizens with valid ID,"Monthly pension, healthcare benefits",Offline or online registration,https://seniorpension.gov.in/,N/A,Lifetime
Youth Startup Fund,Private,19-35,All,OBC,Middle,Urban,Microcredit for Startups,Young entrepreneurs with viable business plans,"Seed funding, mentorship",Online application portal,https://youthstartupfund.org/,Equity or repayment depending on model,5 years
Women Empowerment Loan,Private,19-35,Female,OBC,Middle,Urban,Microcredit for Women Entrepreneurs,Women with business plans,"Low-interest loans, business training",Online or branch application,https://womenloan.org/,Interest rate 7-10%,2-3 years
Urban Financial Literacy Initiative,Government,All,All,All,All,Urban,Financial Literacy,Urban residents,"Workshops, materials, counseling",Registration at local community centers,https://urbanfinlit.gov.in/,N/A,N/A
Agricultural Credit Support,Government,36-60,Male,ST,Below Poverty Line,Rural,Agricultural Microcredit,Farmers and agricultural workers,Low-interest loans for crops and equipment,Application through local agricultural offices,https://agricredit.gov.in/,Interest rate 5-8%,1-4 years
Digital Banking for All,Government,All,All,All,All,All India,Promote Digital Payments,All citizens with mobile device,"Cashback offers, easier transactions",Open a bank account digitally,https://digitalbanking.gov.in/,N/A,N/A
Micro Insurance Scheme,Private,19-60,All,All,Middle,All India,Insurance Coverage,Individuals with valid ID,"Affordable insurance plans, coverage for health, life",Online or agent-assisted registration,https://microinsure.org/,N/A,N/A
Skill Development Financial Support,Government,19-35,All,All,Middle,All India,Funding for Skill Development,Young adults with skill training certification,Financial support for training programs,Application via official portal,https://skilldev.gov.in/,N/A,N/A
Rural Savings Initiative,Government,6-18,All,All,All,Rural,Promote Savings among Rural Children,Children aged 6-18 in rural areas,"Savings accounts with benefits, financial literacy",Application through schools and local centers,https://ruralsavings.gov.in/,Interest rate 3-5%,N/A
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Bank account accessibility,Open to all citizens aged 6+,"Zero balance accounts, insurance cover",Visit bank branch or digital platform,https://pmjdy.gov.in/,N/A,Lifetime
